"raw_author_label","raw_year","normalized_source_id","effect_rows","hop_codes_present","source_locators","full_citation","title","container","doi","stable_url","resolution_status","resolution_confidence","candidate_count","disambiguation_basis","notes"
"van Nuland,2017","2017","doi:10.1038/s41559-017-0150","56","H2","Apendix","van Nuland,2017. Divergent plant–soil feedbacks could alter future elevation ranges and ecosystem dynamics. Nature Ecology &amp; Evolution. https://doi.org/10.1038/s41559-017-0150","Divergent plant–soil feedbacks could alter future elevation ranges and ecosystem dynamics","Nature Ecology &amp; Evolution","10.1038/s41559-017-0150","https://doi.org/10.1038/s41559-017-0150","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Ai et al. 2018","2018","unresolved:ai-et-al-2018-2018","6","H2","Figure 3.13 | Figure 3.3 | Figure 3.8","","","","","","ambiguous","ambiguous","3","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Bezemer,2018","2018","doi:10.1111/1365-2745.12999","160","HU","Original data","Bezemer,2018. Plant competition alters the temporal dynamics of plant‐soil feedbacks. Journal of Ecology. https://doi.org/10.1111/1365-2745.12999","Plant competition alters the temporal dynamics of plant‐soil feedbacks","Journal of Ecology","10.1111/1365-2745.12999","https://doi.org/10.1111/1365-2745.12999","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Chen et al. 2018","2018","unresolved:chen-et-al-2018-2018","4","H2","Figure 3 | Figure 5","","","","","","ambiguous","ambiguous","8","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Dudenhoeffer et al. 2018","2018","unresolved:dudenhoeffer-et-al-2018-2018","9","HU","Original data","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Fry,2018","2018","doi:10.1007/s00442-018-4082-x","8","HU","Figure 2 | Figure 4","Fry,2018. Drought neutralises plant–soil feedback of two mesic grassland forbs. Oecologia. https://doi.org/10.1007/s00442-018-4082-x","Drought neutralises plant–soil feedback of two mesic grassland forbs","Oecologia","10.1007/s00442-018-4082-x","https://doi.org/10.1007/s00442-018-4082-x","doi_resolved","moderate","7","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Heinen et al. 2018","2018","unresolved:heinen-et-al-2018-2018","168","HU","Original data","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Heinze-Joshi,2018","2018","unresolved:heinze-joshi-2018-2018","12","H1","Xi et al. 2021","","","","","","ambiguous","ambiguous","9","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Kadowaki et al. 2018","2018","doi:10.1038/s42003-018-0201-9","7","HU","Apendix","Kadowaki et al. 2018. Mycorrhizal fungi mediate the direction and strength of plant–soil feedbacks differently between arbuscular mycorrhizal and ectomycorrhizal communities. Communications Biology. https://doi.org/10.1038/s42003-018-0201-9","Mycorrhizal fungi mediate the direction and strength of plant–soil feedbacks differently between arbuscular mycorrhizal and ectomycorrhizal communities","Communications Biology","10.1038/s42003-018-0201-9","https://doi.org/10.1038/s42003-018-0201-9","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Kembel et al. 2018","2018","unresolved:kembel-et-al-2018-2018","94","HU","Authors","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Kutakova et al. 2018","2018","unresolved:kutakova-et-al-2018-2018","8","HU","Original data","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Le Roux et al. 2018","2018","doi:10.1111/1365-2745.12965","7","H2","Original data","Le Roux et al. 2018. Importance of soil legacy effects and successful mutualistic interactions during Australian acacia invasions in nutrient‐poor environments. Journal of Ecology. https://doi.org/10.1111/1365-2745.12965","Importance of soil legacy effects and successful mutualistic interactions during Australian acacia invasions in nutrient‐poor environments","Journal of Ecology","10.1111/1365-2745.12965","https://doi.org/10.1111/1365-2745.12965","doi_resolved","moderate","3","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Lepinay,2018","2018","unresolved:lepinay-2018-2018","4","HU","Xi et al. 2021","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"McGinn et al. 2018","2018","unresolved:mcginn-et-al-2018-2018","75","H2","Original data","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Pfennigwerth et al. 2018","2018","unresolved:pfennigwerth-et-al-2018-2018","29","H2","Apendix","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Png et al. 2018","2018","doi:10.1111/1365-2745.13048","48","H2","Apendix","Png et al. 2018. Biotic and abiotic plant–soil feedback depends on nitrogen‐acquisition strategy and shifts during long‐term ecosystem development. Journal of Ecology. https://doi.org/10.1111/1365-2745.13048","Biotic and abiotic plant–soil feedback depends on nitrogen‐acquisition strategy and shifts during long‐term ecosystem development","Journal of Ecology","10.1111/1365-2745.13048","https://doi.org/10.1111/1365-2745.13048","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Qu et al. 2018","2018","unresolved:qu-et-al-2018-2018","12","HU","Figure 1","","","","","","ambiguous","ambiguous","4","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Rutten et al. 2018","2018","doi:10.1007/s11104-018-3567-z","2","H2","Apendix","Rutten et al. 2018. Plant-soil feedbacks and root responses of two Mediterranean oaks along a precipitation gradient. Plant and Soil. https://doi.org/10.1007/s11104-018-3567-z","Plant-soil feedbacks and root responses of two Mediterranean oaks along a precipitation gradient","Plant and Soil","10.1007/s11104-018-3567-z","https://doi.org/10.1007/s11104-018-3567-z","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Semchenko et al. 2018","2018","doi:10.1126/sciadv.aau4578","28","HU","Original data","Semchenko et al. 2018. Fungal diversity regulates plant-soil feedbacks in temperate grassland. Science Advances. https://doi.org/10.1126/sciadv.aau4578","Fungal diversity regulates plant-soil feedbacks in temperate grassland","Science Advances","10.1126/sciadv.aau4578","https://doi.org/10.1126/sciadv.aau4578","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Stotz, 2018","2018","unresolved:stotz-2018-2018","1","H2","Xi et al. 2021","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Wei 2018","2018","doi:10.1016/j.scitotenv.2018.03.219","37","HU","Table 5.1","Wei 2018. Fertilizer N application rate impacts plant-soil feedback in a sanqi production system. Science of The Total Environment. https://doi.org/10.1016/j.scitotenv.2018.03.219","Fertilizer N application rate impacts plant-soil feedback in a sanqi production system","Science of The Total Environment","10.1016/j.scitotenv.2018.03.219","https://doi.org/10.1016/j.scitotenv.2018.03.219","doi_resolved","moderate","4","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Wubs,2018,FE","2018","doi:10.1016/j.soilbio.2018.05.034","34","HU","Original data","Wubs,2018,FE. Two decades of altered snow cover does not affect soil microbial ability to catabolize carbon compounds in an oceanic alpine heath. Soil Biology and Biochemistry. https://doi.org/10.1016/j.soilbio.2018.05.034","Two decades of altered snow cover does not affect soil microbial ability to catabolize carbon compounds in an oceanic alpine heath","Soil Biology and Biochemistry","10.1016/j.soilbio.2018.05.034","https://doi.org/10.1016/j.soilbio.2018.05.034","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Xi et al. 2018","2018","doi:10.1016/j.envexpbot.2018.08.013","2","H2","Figure 1","Xi et al. 2018. Plant drought resistance is mediated by soil microbial community structure and soil-plant feedbacks in a savanna tree species. Environmental and Experimental Botany. https://doi.org/10.1016/j.envexpbot.2018.08.013","Plant drought resistance is mediated by soil microbial community structure and soil-plant feedbacks in a savanna tree species","Environmental and Experimental Botany","10.1016/j.envexpbot.2018.08.013","https://doi.org/10.1016/j.envexpbot.2018.08.013","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Xue,2018,PS","2018","doi:10.1007/s11104-018-3690-x","8","H2","Figure 2","Xue,2018,PS. Density-dependency and plant-soil feedback: former plant abundance influences competitive interactions between two grassland plant species through plant-soil feedbacks. Plant and Soil. https://doi.org/10.1007/s11104-018-3690-x","Density-dependency and plant-soil feedback: former plant abundance influences competitive interactions between two grassland plant species through plant-soil feedbacks","Plant and Soil","10.1007/s11104-018-3690-x","https://doi.org/10.1007/s11104-018-3690-x","doi_resolved","high","5","raw label journal suffix uniquely matched Plant and Soil","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Zhao,2018","2018","doi:10.1007/s11104-018-3703-9","24","HU","Xi et al. 2021","Zhao,2018. Competition alters plant–soil feedbacks of two species in the Inner Mongolia Steppe, China. Plant and Soil. https://doi.org/10.1007/s11104-018-3703-9","Competition alters plant–soil feedbacks of two species in the Inner Mongolia Steppe, China","Plant and Soil","10.1007/s11104-018-3703-9","https://doi.org/10.1007/s11104-018-3703-9","doi_resolved","moderate","8","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Chung,2019","2019","doi:10.1002/ecy.2756","4","H1","Original data","Chung,2019. Connecting plant–soil feedbacks to long‐term stability in a desert grassland. Ecology. https://doi.org/10.1002/ecy.2756","Connecting plant–soil feedbacks to long‐term stability in a desert grassland","Ecology","10.1002/ecy.2756","https://doi.org/10.1002/ecy.2756","doi_resolved","high","6","unique candidate present in published PSF reference pool(s): X","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Dukes,2019","2019","unresolved:dukes-2019-2019","4","HU","Figure 2 | Figure 5","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Forero et al. 2019","2019","doi:10.3389/fenvs.2019.00184","518","HU","Original data","Forero et al. 2019. Greenhouse- and Field-Measured Plant-Soil Feedbacks Are Not Correlated. Frontiers in Environmental Science. https://doi.org/10.3389/fenvs.2019.00184","Greenhouse- and Field-Measured Plant-Soil Feedbacks Are Not Correlated","Frontiers in Environmental Science","10.3389/fenvs.2019.00184","https://doi.org/10.3389/fenvs.2019.00184","doi_resolved","high","2","unique candidate present in published PSF reference pool(s): S","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Heinze,2019","2019","doi:10.1007/s00442-019-04442-9","72","H1","Author","Heinze,2019. The relative importance of plant-soil feedbacks for plant-species performance increases with decreasing intensity of herbivory. Oecologia. https://doi.org/10.1007/s00442-019-04442-9","The relative importance of plant-soil feedbacks for plant-species performance increases with decreasing intensity of herbivory","Oecologia","10.1007/s00442-019-04442-9","https://doi.org/10.1007/s00442-019-04442-9","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Kulmatiski, 2019","2019","doi:10.3389/fevo.2019.00326","12","HU","Table 2 | Table 3","Kulmatiski, 2019. Plant-Soil Feedbacks Predict Native but Not Non-native Plant Community Composition: A 7-Year Common-Garden Experiment. Frontiers in Ecology and Evolution. https://doi.org/10.3389/fevo.2019.00326","Plant-Soil Feedbacks Predict Native but Not Non-native Plant Community Composition: A 7-Year Common-Garden Experiment","Frontiers in Ecology and Evolution","10.3389/fevo.2019.00326","https://doi.org/10.3389/fevo.2019.00326","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Lozano.2019","2019","unresolved:lozano-2019-2019","13","H2","Figure 2 | Figure 3","","","","","","ambiguous","ambiguous","3","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Ma,2019","2019","unresolved:ma-2019-2019","6","H2","Table S7","","","","","","ambiguous","ambiguous","8","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Synder,2019","2019","unresolved:synder-2019-2019","8","HU","Figure 3 | Xi et al. 2021","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Wang,2019","2019","unresolved:wang-2019-2019","2","HU","Figure 2","","","","","","ambiguous","ambiguous","5","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Wilschut et al. 2019","2019","unresolved:wilschut-et-al-2019-2019","8","HU","Figure 3","","","","","","ambiguous","ambiguous","2","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Xi et al. 2019","2019","unresolved:xi-et-al-2019-2019","4","HU","Figure 1","","","","","","ambiguous","ambiguous","2","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Aldorfova,2020","2020","unresolved:aldorfova-2020-2020","68","HU","Original data","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Heinze,2020","2020","doi:10.1002/ecy.3023","40","H1","Author","Heinze,2020. Plant–soil feedback effects altered by aboveground herbivory explain plant species abundance in the landscape. Ecology. https://doi.org/10.1002/ecy.3023","Plant–soil feedback effects altered by aboveground herbivory explain plant species abundance in the landscape","Ecology","10.1002/ecy.3023","https://doi.org/10.1002/ecy.3023","doi_resolved","high","4","unique candidate present in published PSF reference pool(s): S","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Jin et al. 2020","2020","unresolved:jin-et-al-2020-2020","2","H2|HU","Table 1","","","","","","ambiguous","ambiguous","5","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Kiniry et al. 2020","2020","doi:10.3390/agronomy10121860","4","H2","Figure 2b","Kiniry et al. 2020. Effects of Plant-Soil Feedback on Switchgrass Productivity Related to Microbial Origin. Agronomy. https://doi.org/10.3390/agronomy10121860","Effects of Plant-Soil Feedback on Switchgrass Productivity Related to Microbial Origin","Agronomy","10.3390/agronomy10121860","https://doi.org/10.3390/agronomy10121860","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Lance et al. 2020","2020","doi:10.3389/fevo.2019.00500","16","H1","Original data","Lance et al. 2020. Individual Plant-Soil Feedback Effects Influence Tree Growth and Rhizosphere Fungal Communities in a Temperate Forest Restoration Experiment. Frontiers in Ecology and Evolution. https://doi.org/10.3389/fevo.2019.00500","Individual Plant-Soil Feedback Effects Influence Tree Growth and Rhizosphere Fungal Communities in a Temperate Forest Restoration Experiment","Frontiers in Ecology and Evolution","10.3389/fevo.2019.00500","https://doi.org/10.3389/fevo.2019.00500","doi_resolved","moderate","4","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Liang et al. 2020","2020","doi:10.1007/s42832-020-0052-4","30","H1","Original data","Liang et al. 2020. Soil microbial carbon pump: Mechanism and appraisal. Soil Ecology Letters. https://doi.org/10.1007/s42832-020-0052-4","Soil microbial carbon pump: Mechanism and appraisal","Soil Ecology Letters","10.1007/s42832-020-0052-4","https://doi.org/10.1007/s42832-020-0052-4","doi_resolved","moderate","3","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Lucero et al. 2020","2020","unresolved:lucero-et-al-2020-2020","8","H2","Figure 2","","","","","","ambiguous","ambiguous","3","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Oschrin et al. 2020","2020","doi:10.3390/d12050201","6","HU","Figure 2 | Figure 3 | Figure 4","Oschrin et al. 2020. Interpreting Pattern in Plant-Soil Feedback Experiments with Co-occurring Invasive Species: A Graphical Framework and Case Study. Diversity. https://doi.org/10.3390/d12050201","Interpreting Pattern in Plant-Soil Feedback Experiments with Co-occurring Invasive Species: A Graphical Framework and Case Study","Diversity","10.3390/d12050201","https://doi.org/10.3390/d12050201","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Peacher et al. 2020","2020","unresolved:peacher-et-al-2020-2020","8","H2","Original data","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Segnitz et al. 2020","2020","doi:10.1002/ecy.3083","71","H2","Authors","Segnitz et al. 2020. Ectomycorrhizal fungi drive positive phylogenetic plant–soil feedbacks in a regionally dominant tropical plant family. Ecology. https://doi.org/10.1002/ecy.3083","Ectomycorrhizal fungi drive positive phylogenetic plant–soil feedbacks in a regionally dominant tropical plant family","Ecology","10.1002/ecy.3083","https://doi.org/10.1002/ecy.3083","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Singh et al. 2020","2020","doi:10.3390/d12060217","6","H2","Figure 3","Singh et al. 2020. Plant-Soil Feedback Effects on Germination and Growth of Native and Non-Native Species Common across Southern California. Diversity. https://doi.org/10.3390/d12060217","Plant-Soil Feedback Effects on Germination and Growth of Native and Non-Native Species Common across Southern California","Diversity","10.3390/d12060217","https://doi.org/10.3390/d12060217","doi_resolved","moderate","9","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Stein et al. 2020","2020","doi:10.1002/ecy.3147","62","HU","Figure S2b | Figure S3b","Stein et al. 2020. Soil biota increase the likelihood for coexistence among competing plant species. Ecology. https://doi.org/10.1002/ecy.3147","Soil biota increase the likelihood for coexistence among competing plant species","Ecology","10.1002/ecy.3147","https://doi.org/10.1002/ecy.3147","doi_resolved","moderate","7","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Wang YK et al. 2020","2020","unresolved:wang-yk-et-al-2020-2020","32","HU","Figure 3-10 | Figure 3-11 | Figure 3-12 | Figure 3-5 | Figure 3-6 | Figure 3-7 | Figure 3-8 | Figure 3-9","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Wang et al. 2020","2020","unresolved:wang-et-al-2020-2020","60","HU","Figure 3","","","","","","ambiguous","ambiguous","8","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Wei et al. 2020","2020","doi:10.1007/s00442-020-04703-y","35","HU","Figure 4","Wei et al. 2020. Mixed evidence for plant–soil feedbacks in forest invasions. Oecologia. https://doi.org/10.1007/s00442-020-04703-y","Mixed evidence for plant–soil feedbacks in forest invasions","Oecologia","10.1007/s00442-020-04703-y","https://doi.org/10.1007/s00442-020-04703-y","doi_resolved","moderate","3","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Werger et al. 2020","2020","doi:10.1093/aobpla/plaa050","8","H1","Original data","Werger et al. 2020. Wind intensity affects fine root morphological traits with consequences for plant-soil feedback effects. AoB PLANTS. https://doi.org/10.1093/aobpla/plaa050","Wind intensity affects fine root morphological traits with consequences for plant-soil feedback effects","AoB PLANTS","10.1093/aobpla/plaa050","https://doi.org/10.1093/aobpla/plaa050","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Xi et al. 2020","2020","doi:10.1093/aob/mcaa134","12","HU","Figure S1","Xi et al. 2020. Soil microbes alter seedling performance and biotic interactions under plant competition and contrasting light conditions. Annals of Botany. https://doi.org/10.1093/aob/mcaa134","Soil microbes alter seedling performance and biotic interactions under plant competition and contrasting light conditions","Annals of Botany","10.1093/aob/mcaa134","https://doi.org/10.1093/aob/mcaa134","doi_resolved","moderate","7","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Allen et al. 2021","2021","doi:10.1111/nph.17455","71","HU","Original data","Allen et al. 2021. Soil sample pooling generates no consistent inference bias: a meta‐analysis of 71 plant–soil feedback experiments. New Phytologist. https://doi.org/10.1111/nph.17455","Soil sample pooling generates no consistent inference bias: a meta‐analysis of 71 plant–soil feedback experiments","New Phytologist","10.1111/nph.17455","https://doi.org/10.1111/nph.17455","doi_resolved","moderate","4","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Beck, 2021","2021","doi:10.1007/s11258-021-01173-x","36","HU","Original data","Beck, 2021. Variation in plant–soil interactions among temperate forest herbs. Plant Ecology. https://doi.org/10.1007/s11258-021-01173-x","Variation in plant–soil interactions among temperate forest herbs","Plant Ecology","10.1007/s11258-021-01173-x","https://doi.org/10.1007/s11258-021-01173-x","doi_resolved","moderate","5","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Coughlin et al. 2021","2021","doi:10.1111/rec.13326","18","H2","Authors","Coughlin et al. 2021. Plant–soil feedbacks and the introduction of <i>Castanea</i> (chestnut) hybrids to eastern North American forests. Restoration Ecology. https://doi.org/10.1111/rec.13326","Plant–soil feedbacks and the introduction of <i>Castanea</i> (chestnut) hybrids to eastern North American forests","Restoration Ecology","10.1111/rec.13326","https://doi.org/10.1111/rec.13326","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Davis et al. 2021","2021","unresolved:davis-et-al-2021-2021","2","HU","Figure 5a","","","","","","ambiguous","ambiguous","10","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"De Long et al. 2021","2021","unresolved:de-long-et-al-2021-2021","5","HU","Figure 2b","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Domínguez-Begines et al. 2021","2021","unresolved:dom-nguez-begines-et-al-2021-2021","2","H2","Figure 1","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Dostal et al. 2021","2021","unresolved:dostal-et-al-2021-2021","800","HU","Author","","","","","","unresolved","unresolved","0","no exact first-author/year candidate was retained","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Hassan et al. 2021","2021","unresolved:hassan-et-al-2021-2021","40","HU","Original data","","","","","","ambiguous","ambiguous","5","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Ke et al. 2021","2021","unresolved:ke-et-al-2021-2021","16","H2","Figure S6","","","","","","ambiguous","ambiguous","5","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Lu et al. 2021","2021","unresolved:lu-et-al-2021-2021","6","H2","Figure 1","","","","","","ambiguous","ambiguous","3","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Nuske et al. 2021","2021","unresolved:nuske-et-al-2021-2021","10","H2","Figure 4","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Spitzer et al. 2021","2021","unresolved:spitzer-et-al-2021-2021","18","HU","Original data","","","","","","ambiguous","ambiguous","3","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Tang et al. 2021","2021","unresolved:tang-et-al-2021-2021","12","HU","Figure S3","","","","","","ambiguous","ambiguous","10","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Uddin et al. 2021","2021","doi:10.1007/s11258-021-01180-y","4","H2","Figure 1","Uddin et al. 2021. Conspecific and heterospecific plant–soil biota interactions of Lonicera japonica in its native and introduced range: implications for invasion success. Plant Ecology. https://doi.org/10.1007/s11258-021-01180-y","Conspecific and heterospecific plant–soil biota interactions of Lonicera japonica in its native and introduced range: implications for invasion success","Plant Ecology","10.1007/s11258-021-01180-y","https://doi.org/10.1007/s11258-021-01180-y","doi_resolved","moderate","7","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Wang et al. 2021 PE","2021","doi:10.1007/s11258-021-01171-z","3","HU","Figure 1c","Wang et al. 2021 PE. Plant–soil feedback effects on the performance and functional traits of Dodonaea viscosa in a dry-hot valley, China. Plant Ecology. https://doi.org/10.1007/s11258-021-01171-z","Plant–soil feedback effects on the performance and functional traits of Dodonaea viscosa in a dry-hot valley, China","Plant Ecology","10.1007/s11258-021-01171-z","https://doi.org/10.1007/s11258-021-01171-z","doi_resolved","high","5","raw label journal suffix uniquely matched Plant Ecology","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Wilschut et al. 2021","2021","doi:10.1007/s11104-021-04861-9","36","HU","Figure 3 | Figure S2","Wilschut et al. 2021. Drought alters plant‐soil feedback effects on biomass allocation but not on plant performance. Plant and Soil. https://doi.org/10.1007/s11104-021-04861-9","Drought alters plant‐soil feedback effects on biomass allocation but not on plant performance","Plant and Soil","10.1007/s11104-021-04861-9","https://doi.org/10.1007/s11104-021-04861-9","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Huangfu et al. 2022","2022","doi:10.1016/j.scitotenv.2021.150908","24","H2","Figure 2","Huangfu et al. 2022. Density-dependent plant-soil feedbacks of two plant species affected by plant competition. Science of The Total Environment. https://doi.org/10.1016/j.scitotenv.2021.150908","Density-dependent plant-soil feedbacks of two plant species affected by plant competition","Science of The Total Environment","10.1016/j.scitotenv.2021.150908","https://doi.org/10.1016/j.scitotenv.2021.150908","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Jiang et al. 2022","2022","doi:10.1111/1365-2745.13879","38","H1|H2","Original data","Jiang et al. 2022. Phylogenetic dependence of plant–soil feedback promotes rare species in a subtropical forest. Journal of Ecology. https://doi.org/10.1111/1365-2745.13879","Phylogenetic dependence of plant–soil feedback promotes rare species in a subtropical forest","Journal of Ecology","10.1111/1365-2745.13879","https://doi.org/10.1111/1365-2745.13879","doi_resolved","moderate","4","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
